import time: self [us] | cumulative | imported package
import time:       338 |        871 |               matplotlib._afm
import time:      8810 |      11439 |             matplotlib.font_manager
import time:       233 |        233 |               matplotlib.hatch
import time:       421 |        421 |                 matplotlib.markers
import time:      3468 |       3888 |               matplotlib.lines
import time:     12894 |      17014 |             matplotlib.patches
import time:        91 |         91 |                 urllib
import time:       821 |        821 |                 ipaddress
import time:       707 |       1618 |               urllib.parse
import time:       766 |        766 |               matplotlib._text_helpers
import time:       975 |        975 |               matplotlib.dviread
import time:       170 |        170 |                   unicodedata
import time:      2095 |       2265 |                 matplotlib._mathtext
import time:       192 |       2456 |               matplotlib.mathtext
import time:      1569 |       1569 |                   _hashlib
import time:       160 |        160 |                   _blake2
import time:       212 |       1940 |                 hashlib
import time:       247 |       2187 |               matplotlib.texmanager
import time:       298 |       8297 |             matplotlib.textpath
import time:      5736 |      42484 |           matplotlib.text
import time:       139 |        139 |           matplotlib._tight_bbox
import time:     11340 |      11340 |             matplotlib.collections
import time:      1678 |      13018 |           matplotlib.widgets
import time:       222 |        222 |           matplotlib.backend_managers
import time:       312 |        312 |               matplotlib._layoutgrid
import time:       177 |        489 |             matplotlib._constrained_layout
import time:       101 |        101 |             matplotlib._tight_layout
import time:       168 |        757 |           matplotlib.layout_engine
import time:      1456 |      60676 |         matplotlib.backend_bases
import time:      3378 |      64054 |       matplotlib.image
import time:       300 |        300 |               importlib.resources.abc
import time:       253 |        552 |             importlib.resources._common
import time:       102 |        102 |             importlib.resources._functional
import time:       112 |        765 |           importlib.resources
import time:      7721 |       8485 |         matplotlib.style.core
import time:       148 |       8633 |       matplotlib.style
import time:        86 |         86 |         matplotlib._blocking_input
import time:      4506 |       4506 |               matplotlib.offsetbox
import time:       641 |        641 |                     _decimal
import time:       102 |        743 |                   decimal
import time:       170 |        913 |                 matplotlib.units
import time:      4485 |       5397 |               matplotlib.axis
import time:       360 |        360 |               matplotlib.gridspec
import time:       959 |        959 |               matplotlib.spines
import time:      1561 |       1561 |               matplotlib.table
import time:      3113 |      15895 |             matplotlib.axes._base
import time:       661 |        661 |                     calendar
import time:        92 |         92 |                         importlib._abc
import time:       123 |        215 |                       importlib.util
import time:       639 |        853 |                     six
import time:        93 |         93 |                     dateutil._common
import time:        31 |         31 |                       six.moves
import time:       155 |        155 |                       dateutil.tz._common
import time:       119 |        119 |                       dateutil.tz._factories
import time:        18 |         18 |                         six.moves.winreg
import time:       142 |        159 |                       dateutil.tz.win
import time:       784 |       1246 |                     dateutil.tz.tz
import time:       938 |       3788 |                   dateutil.parser._parser
import time:       230 |        230 |                   dateutil.parser.isoparser
import time:       184 |       4201 |                 dateutil.parser
import time:       257 |       4458 |               matplotlib.category
import time:      1713 |       1713 |               matplotlib.contour
import time:       127 |        127 |                     _heapq
import time:       142 |        268 |                   heapq
import time:       468 |        736 |                 dateutil.rrule
import time:       636 |       1372 |               matplotlib.dates
import time:       643 |        643 |               matplotlib.inset
import time:       163 |        163 |                 matplotlib.container
import time:       605 |        605 |                 matplotlib.legend_handler
import time:      1276 |       2043 |               matplotlib.legend
import time:       288 |        288 |               matplotlib.mlab
import time:      2401 |       2401 |               matplotlib.quiver
import time:       128 |        128 |               matplotlib.stackplot
import time:       837 |        837 |               matplotlib.streamplot
import time:       162 |        162 |                 matplotlib.tri._triangulation
import time:       916 |        916 |                 matplotlib.tri._tricontour
import time:       481 |        481 |                 matplotlib.tri._trifinder
import time:       118 |        118 |                   matplotlib.tri._tritools
import time:       472 |        590 |                 matplotlib.tri._triinterpolate
import time:       644 |        644 |                 matplotlib.tri._tripcolor
import time:        95 |         95 |                 matplotlib.tri._triplot
import time:       124 |        124 |                 matplotlib.tri._trirefine
import time:       180 |       3188 |               matplotlib.tri
import time:      1271 |       1271 |               matplotlib.axes._secondary_axes
import time:     11270 |      29606 |             matplotlib.axes._axes
import time:       138 |      45638 |           matplotlib.axes
import time:      5228 |       5228 |           matplotlib.projections.geo
import time:      3859 |       3859 |           matplotlib.projections.polar
import time:        90 |         90 |             mpl_toolkits
import time:       128 |        128 |                 mpl_toolkits.mplot3d.proj3d
import time:      6576 |       6704 |               mpl_toolkits.mplot3d.art3d
import time:      2601 |       2601 |               mpl_toolkits.mplot3d.axis3d
import time:      5095 |      14399 |             mpl_toolkits.mplot3d.axes3d
import time:       154 |      14642 |           mpl_toolkits.mplot3d
import time:       161 |      69526 |         matplotlib.projections
import time:      1071 |       1071 |         matplotlib.colorbar
import time:      3090 |      73772 |       matplotlib.figure
import time:      4616 |     283036 |     matplotlib.pyplot
import time:       114 |        114 |           certifi.core
import time:       110 |        224 |         certifi
import time:       196 |        196 |           pyproj._compat
import time:       292 |        292 |           pyproj.utils
import time:      3417 |       3904 |         pyproj._context
import time:       250 |        250 |         pyproj._network
import time:       164 |       4541 |       pyproj.network
import time:       114 |        114 |           email
import time:       125 |        125 |               zipfile._path.glob
import time:       302 |        427 |             zipfile._path
import time:       711 |       1137 |           zipfile
import time:       186 |        186 |           importlib.metadata._meta
import time:       177 |        177 |           importlib.metadata._collections
import time:        64 |         64 |           importlib.metadata._functools
import time:        61 |         61 |           importlib.metadata._itertools
import time:       252 |        252 |           importlib.abc
import time:       991 |       2979 |         importlib.metadata
import time:       109 |       3087 |       pyproj._show_versions
import time:       277 |        277 |       pyproj._version
import time:      1206 |       1206 |           pyproj.aoi
import time:       206 |        206 |           pyproj.crs.datum
import time:       627 |        627 |             pyproj.enums
import time:       443 |       1069 |           pyproj.crs.enums
import time:       155 |        155 |           pyproj.exceptions
import time:       461 |        461 |             pyproj._geod
import time:       211 |        211 |             pyproj.list
import time:       261 |        932 |           pyproj.geod
import time:       753 |       4319 |         pyproj._crs
import time:       353 |        353 |             pyproj.crs.coordinate_operation
import time:       223 |        576 |           pyproj.crs._cf1x8
import time:       168 |        168 |           pyproj.crs.coordinate_system
import time:       848 |       1591 |         pyproj.crs.crs
import time:       119 |       6029 |       pyproj.crs
import time:       506 |        506 |       pyproj.database
import time:       617 |        617 |         pyproj._transformer
import time:       102 |        102 |           pyproj.datadir
import time:       489 |        489 |                 http
import time:       301 |        301 |                     email.errors
import time:       157 |        157 |                         email.quoprimime
import time:        73 |         73 |                         email.base64mime
import time:       105 |        105 |                             quopri
import time:        72 |        177 |                           email.encoders
import time:       128 |        304 |                         email.charset
import time:       457 |        990 |                       email.header
import time:       198 |        198 |                         email._parseaddr
import time:       292 |        490 |                       email.utils
import time:       414 |       1893 |                     email._policybase
import time:       393 |       2586 |                   email.feedparser
import time:       183 |       2768 |                 email.parser
import time:       173 |        173 |                   email._encoded_words
import time:        88 |         88 |                   email.iterators
import time:       384 |        644 |                 email.message
import time:       926 |        926 |                   _ssl
import time:      1596 |       2522 |                 ssl
import time:       727 |       7149 |               http.client
import time:       131 |        131 |                 urllib.response
import time:       184 |        314 |               urllib.error
import time:      1072 |       8534 |             urllib.request
import time:       252 |        252 |             pyproj._sync
import time:       132 |       8917 |           pyproj.sync
import time:      1607 |      10625 |         pyproj.transformer
import time:       264 |      11504 |       pyproj.proj
import time:       288 |        288 |       importlib.resources._adapters
import time:        57 |         57 |           importlib.resources._itertools
import time:       210 |        267 |         importlib.resources.readers
import time:        77 |        344 |       importlib.readers
import time:      5162 |      31734 |     pyproj
import time:       168 |        168 |       loguru._defaults
import time:       234 |        234 |             multiprocessing.process
import time:       210 |        210 |             multiprocessing.reduction
import time:       375 |        818 |           multiprocessing.context
import time:       186 |       1003 |         multiprocessing
import time:        83 |         83 |                 concurrent
import time:       387 |        387 |                 concurrent.futures._base
import time:       106 |        575 |               concurrent.futures
import time:       168 |        168 |               asyncio.constants
import time:        90 |         90 |               asyncio.coroutines
import time:        87 |         87 |                 asyncio.format_helpers
import time:       103 |        103 |                   asyncio.base_futures
import time:       325 |        325 |                   asyncio.exceptions
import time:       108 |        108 |                   asyncio.base_tasks
import time:       239 |        773 |                 _asyncio
import time:       390 |       1249 |               asyncio.events
import time:       197 |        197 |               asyncio.futures
import time:       132 |        132 |               asyncio.protocols
import time:       200 |        200 |                 asyncio.transports
import time:        63 |         63 |                 asyncio.log
import time:       513 |        775 |               asyncio.sslproto
import time:        69 |         69 |                   asyncio.mixins
import time:       349 |        417 |                 asyncio.locks
import time:      1589 |       1589 |                   asyncio.queues
import time:       358 |        358 |                   asyncio.timeouts
import time:       398 |       2343 |                 asyncio.tasks
import time:       114 |       2873 |               asyncio.staggered
import time:       111 |        111 |               asyncio.trsock
import time:       708 |       6874 |             asyncio.base_events
import time:       201 |        201 |             asyncio.runners
import time:       275 |        275 |             asyncio.streams
import time:       173 |        173 |             asyncio.subprocess
import time:       121 |        121 |             asyncio.taskgroups
import time:        74 |         74 |             asyncio.threads
import time:       207 |        207 |               asyncio.base_subprocess
import time:       380 |        380 |               asyncio.selector_events
import time:       665 |       1252 |             asyncio.unix_events
import time:       147 |       9114 |           asyncio
import time:        79 |       9192 |         loguru._asyncio_loop
import time:        86 |         86 |         loguru._colorama
import time:        56 |         56 |         loguru._filters
import time:       214 |        214 |         loguru._better_exceptions
import time:       347 |        347 |         loguru._colorizer
import time:        64 |         64 |         loguru._contextvars
import time:       310 |        310 |         loguru._datetime
import time:        72 |         72 |         loguru._error_interceptor
import time:       119 |        119 |           loguru._string_parsers
import time:        83 |         83 |           loguru._ctime_functions
import time:       223 |        424 |         loguru._file_sink
import time:        58 |         58 |         loguru._get_frame
import time:        65 |         65 |           loguru._locks_machinery
import time:       151 |        215 |         loguru._handler
import time:       190 |        190 |         loguru._recattrs
import time:       119 |        119 |         loguru._simple_sinks
import time:      3010 |      15354 |       loguru._logger
import time:       405 |        405 |       _sysconfigdata__linux_x86_64-linux-gnu
import time:      2962 |      18886 |     loguru
import time:       123 |        123 |         rich._extension
import time:       267 |        389 |       rich
import time:       202 |        202 |         termios
import time:       132 |        334 |       getpass
import time:       146 |        146 |       rich._null_file
import time:       140 |        140 |       rich.errors
import time:        85 |         85 |               colorsys
import time:       213 |        213 |                   rich.color_triplet
import time:       127 |        339 |                 rich.palette
import time:        70 |        409 |               rich._palettes
import time:       244 |        244 |               rich.repr
import time:       130 |        130 |               rich.terminal_theme
import time:       921 |       1788 |             rich.color
import time:       480 |       2267 |           rich.style
import time:       316 |       2583 |         rich.default_styles
import time:      1018 |       1018 |           configparser
import time:       224 |       1242 |         rich.theme
import time:        83 |       3906 |       rich.themes
import time:      1383 |       1383 |         rich._emoji_codes
import time:       248 |       1631 |       rich._emoji_replace
import time:       100 |        100 |       rich._export_format
import time:        70 |         70 |       rich._fileno
import time:       126 |        126 |           rich._loop
import time:        68 |         68 |           rich._pick
import time:        91 |         91 |               rich._cell_widths
import time:       207 |        297 |             rich.cells
import time:       142 |        439 |           rich._wrap
import time:      1002 |       1002 |                 rich.segment
import time:       118 |       1119 |               rich.jupyter
import time:        81 |         81 |                 rich.protocol
import time:       266 |        347 |               rich.measure
import time:        88 |       1553 |             rich.constrain
import time:       203 |       1755 |           rich.align
import time:       253 |        253 |           rich.containers
import time:       208 |        208 |           rich.control
import time:       163 |        163 |           rich.emoji
import time:       717 |       3726 |         rich.text
import time:       155 |       3880 |       rich._log_render
import time:       209 |        209 |       rich.highlighter
import time:       495 |        495 |       rich.markup
import time:       111 |        111 |       rich.pager
import time:       305 |        305 |             attr._compat
import time:        90 |         90 |               attr._config
import time:       173 |        173 |                 attr.exceptions
import time:        77 |        250 |               attr.setters
import time:      2602 |       2940 |             attr._make
import time:       164 |       3407 |           attr.converters
import time:       138 |        138 |           attr.filters
import time:      2775 |       2775 |           attr.validators
import time:       136 |        136 |           attr._cmp
import time:       112 |        112 |           attr._funcs
import time:       110 |        110 |           attr._next_gen
import time:       395 |        395 |           attr._version_info
import time:       277 |       7348 |         attr
import time:        99 |         99 |         rich.abc
import time:      1265 |       8711 |       rich.pretty
import time:       208 |        208 |       rich.region
import time:       193 |        193 |           rich.box
import time:       150 |        150 |           rich.padding
import time:       163 |        505 |         rich.panel
import time:       877 |        877 |             fractions
import time:       180 |       1057 |           rich._ratio
import time:      1242 |       2299 |         rich.table
import time:       135 |       2938 |       rich.scope
import time:       132 |        132 |       rich.screen
import time:        89 |         89 |       rich.styled
import time:      1954 |      25434 |     rich.console
import time:       262 |        262 |           scipy.__config__
import time:        65 |         65 |           scipy.version
import time:       318 |        318 |             scipy._distributor_init_local
import time:        80 |        398 |           scipy._distributor_init
import time:        46 |         46 |               cython
import time:       247 |        292 |             scipy._lib._testutils
import time:        87 |        378 |           scipy._lib
import time:       988 |        988 |           scipy._lib._pep440
import time:       260 |        260 |               scipy._cyutility
import time:       316 |        576 |             scipy._lib._ccallback_c
import time:       182 |        757 |           scipy._lib._ccallback
import time:       273 |       3119 |         scipy
import time:       331 |        331 |                         numpy._typing._add_docstring
import time:       110 |        441 |                       numpy.typing
import time:       822 |        822 |                             scipy._lib.array_api_compat.common._typing
import time:       240 |       1062 |                           scipy._lib.array_api_compat.common._helpers
import time:        97 |       1158 |                         scipy._lib.array_api_compat.common
import time:        86 |       1244 |                       scipy._lib.array_api_compat
import time:       167 |        167 |                             numpy.polynomial.polyutils
import time:       282 |        282 |                             numpy.polynomial._polybase
import time:       367 |        814 |                           numpy.polynomial.chebyshev
import time:       252 |        252 |                           numpy.polynomial.hermite
import time:       185 |        185 |                           numpy.polynomial.hermite_e
import time:       202 |        202 |                           numpy.polynomial.laguerre
import time:       204 |        204 |                           numpy.polynomial.legendre
import time:       198 |        198 |                           numpy.polynomial.polynomial
import time:       124 |       1976 |                         numpy.polynomial
import time:       155 |        155 |                           numpy.fft._helper
import time:       175 |        175 |                             numpy.fft._pocketfft_umath
import time:       279 |        453 |                           numpy.fft._pocketfft
import time:        88 |         88 |                           numpy.fft.helper
import time:       147 |        842 |                         numpy.fft
import time:       543 |        543 |                           numpy._core.strings
import time:        91 |        634 |                         numpy.strings
import time:       165 |        165 |                               unittest.util
import time:       208 |        373 |                             unittest.result
import time:       488 |        488 |                               difflib
import time:       538 |       1026 |                             unittest.case
import time:       189 |        189 |                             unittest.suite
import time:       376 |        376 |                             unittest.loader
import time:       674 |        674 |                                 gettext
import time:       889 |       1563 |                               argparse
import time:       221 |        221 |                                 unittest.signals
import time:       189 |        409 |                               unittest.runner
import time:       166 |       2137 |                             unittest.main
import time:       145 |       4243 |                           unittest
import time:       112 |        112 |                           numpy.testing._private
import time:        80 |         80 |                           numpy.testing.overrides
import time:       132 |        132 |                           numpy.testing._private.extbuild
import time:        42 |         42 |                             gc
import time:      1740 |       1782 |                           numpy.testing._private.utils
import time:       131 |       6479 |                         numpy.testing
import time:       119 |        119 |                           numpy.core._utils
import time:       137 |        255 |                         numpy.core
