import time: self [us] | cumulative | imported package
import time:       229 |        229 |             asyncio.runners
import time:       345 |        345 |             asyncio.streams
import time:       164 |        164 |             asyncio.subprocess
import time:       111 |        111 |             asyncio.taskgroups
import time:        74 |         74 |             asyncio.threads
import time:       180 |        180 |               asyncio.base_subprocess
import time:       389 |        389 |               asyncio.selector_events
import time:       538 |       1107 |             asyncio.unix_events
import time:       148 |      10182 |           asyncio
import time:        76 |      10257 |         loguru._asyncio_loop
import time:        81 |         81 |         loguru._colorama
import time:        56 |         56 |         loguru._filters
import time:       230 |        230 |         loguru._better_exceptions
import time:       337 |        337 |         loguru._colorizer
import time:        63 |         63 |         loguru._contextvars
import time:      1033 |       1033 |           calendar
import time:       338 |       1371 |         loguru._datetime
import time:       115 |        115 |         loguru._error_interceptor
import time:       627 |        627 |             _decimal
import time:        94 |        721 |           decimal
import time:       132 |        132 |           loguru._string_parsers
import time:        72 |         72 |           loguru._ctime_functions
import time:       294 |       1218 |         loguru._file_sink
import time:        60 |         60 |         loguru._get_frame
import time:        66 |         66 |           loguru._locks_machinery
import time:       163 |        228 |         loguru._handler
import time:       189 |        189 |         loguru._recattrs
import time:       133 |        133 |         loguru._simple_sinks
import time:       787 |      16441 |       loguru._logger
import time:       510 |        510 |       _sysconfigdata__linux_x86_64-linux-gnu
import time:      3018 |      20116 |     loguru
import time:       125 |        125 |         rich._extension
import time:       257 |        381 |       rich
import time:       224 |        224 |         termios
import time:       147 |        371 |       getpass
import time:       758 |        758 |         html.entities
import time:       271 |       1029 |       html
import time:       237 |        237 |       rich._null_file
import time:       137 |        137 |       rich.errors
import time:        88 |         88 |               colorsys
import time:       202 |        202 |                   rich.color_triplet
import time:       135 |        337 |                 rich.palette
import time:        81 |        418 |               rich._palettes
import time:       220 |        220 |               rich.repr
import time:       123 |        123 |               rich.terminal_theme
import time:       957 |       1803 |             rich.color
import time:       454 |       2257 |           rich.style
import time:       320 |       2577 |         rich.default_styles
import time:      1175 |       1175 |           configparser
import time:       223 |       1398 |         rich.theme
import time:        82 |       4055 |       rich.themes
import time:      1540 |       1540 |         rich._emoji_codes
import time:       261 |       1800 |       rich._emoji_replace
import time:        96 |         96 |       rich._export_format
import time:        65 |         65 |       rich._fileno
import time:       126 |        126 |           rich._loop
import time:        61 |         61 |           rich._pick
import time:        88 |         88 |               rich._cell_widths
import time:       205 |        293 |             rich.cells
import time:       122 |        414 |           rich._wrap
import time:       775 |        775 |                 rich.segment
import time:       126 |        901 |               rich.jupyter
import time:        73 |         73 |                 rich.protocol
import time:       237 |        309 |               rich.measure
import time:        79 |       1288 |             rich.constrain
import time:       199 |       1486 |           rich.align
import time:       516 |        516 |           rich.containers
import time:       210 |        210 |           rich.control
import time:       160 |        160 |           rich.emoji
import time:       760 |       3729 |         rich.text
import time:       154 |       3883 |       rich._log_render
import time:       209 |        209 |       rich.highlighter
import time:       484 |        484 |       rich.markup
import time:       122 |        122 |       rich.pager
import time:       283 |        283 |             attr._compat
import time:       164 |        164 |               unicodedata
import time:        68 |         68 |               attr._config
import time:       148 |        148 |                 attr.exceptions
import time:        67 |        214 |               attr.setters
import time:      3020 |       3464 |             attr._make
