import time: self [us] | cumulative | imported package
import time:       145 |        145 |           pyproj.crs.coordinate_system
import time:       707 |       1369 |         pyproj.crs.crs
import time:       121 |       6047 |       pyproj.crs
import time:       461 |        461 |       pyproj.database
import time:       587 |        587 |         pyproj._transformer
import time:        87 |         87 |           pyproj.datadir
import time:      1107 |       1107 |               _hashlib
import time:       154 |        154 |               _blake2
import time:       164 |       1424 |             hashlib
import time:        98 |         98 |               urllib
import time:       183 |        183 |               base64
import time:       444 |        444 |                 http
import time:       487 |        487 |                     email.errors
import time:       145 |        145 |                         email.quoprimime
import time:        75 |         75 |                         email.base64mime
import time:        94 |         94 |                             quopri
import time:        76 |        170 |                           email.encoders
import time:       129 |        298 |                         email.charset
import time:       393 |        910 |                       email.header
import time:       839 |        839 |                           ipaddress
import time:       874 |       1712 |                         urllib.parse
import time:       220 |        220 |                         email._parseaddr
import time:       379 |       2309 |                       email.utils
import time:       212 |       3430 |                     email._policybase
import time:       387 |       4303 |                   email.feedparser
import time:       166 |       4468 |                 email.parser
import time:       172 |        172 |                   email._encoded_words
import time:        86 |         86 |                   email.iterators
import time:       399 |        656 |                 email.message
import time:       285 |        285 |                   _socket
import time:       150 |        150 |                     select
import time:       422 |        572 |                   selectors
import time:       893 |       1748 |                 socket
import time:      3288 |       3288 |                   _ssl
import time:      1677 |       4965 |                 ssl
import time:       728 |      13007 |               http.client
import time:       127 |        127 |                 urllib.response
import time:       184 |        310 |               urllib.error
import time:      1080 |      14677 |             urllib.request
import time:       238 |        238 |             pyproj._sync
import time:       134 |      16472 |           pyproj.sync
import time:      1579 |      18137 |         pyproj.transformer
import time:       421 |      19144 |       pyproj.proj
import time:       253 |        253 |       importlib.resources._adapters
import time:        56 |         56 |           importlib.resources._itertools
import time:       197 |        252 |         importlib.resources.readers
import time:        81 |        332 |       importlib.readers
import time:      4997 |      50874 |     pyproj
import time:       154 |        154 |       loguru._defaults
import time:       361 |        361 |               signal
import time:       224 |        585 |             multiprocessing.process
import time:       251 |        251 |             multiprocessing.reduction
import time:       340 |       1174 |           multiprocessing.context
import time:       167 |       1341 |         multiprocessing
import time:        81 |         81 |                 concurrent
import time:       387 |        387 |                 concurrent.futures._base
import time:       125 |        592 |               concurrent.futures
import time:       120 |        120 |                 _heapq
import time:       130 |        249 |               heapq
import time:        78 |         78 |                   _locale
import time:      1219 |       1297 |                 locale
import time:       168 |        168 |                 fcntl
import time:        47 |         47 |                 msvcrt
import time:       100 |        100 |                 _posixsubprocess
import time:       825 |       2434 |               subprocess
import time:       184 |        184 |               asyncio.constants
import time:        81 |         81 |               asyncio.coroutines
import time:        79 |         79 |                 asyncio.format_helpers
import time:        87 |         87 |                   asyncio.base_futures
import time:       126 |        126 |                   asyncio.exceptions
import time:        74 |         74 |                   asyncio.base_tasks
import time:       225 |        510 |                 _asyncio
import time:       342 |        930 |               asyncio.events
import time:       161 |        161 |               asyncio.futures
import time:       120 |        120 |               asyncio.protocols
import time:       193 |        193 |                 asyncio.transports
import time:        60 |         60 |                 asyncio.log
import time:       437 |        690 |               asyncio.sslproto
import time:        68 |         68 |                   asyncio.mixins
import time:       313 |        380 |                 asyncio.locks
import time:       177 |        177 |                   asyncio.queues
import time:       281 |        281 |                   asyncio.timeouts
import time:       543 |       1000 |                 asyncio.tasks
import time:       117 |       1496 |               asyncio.staggered
import time:       130 |        130 |               asyncio.trsock
import time:       671 |       7733 |             asyncio.base_events
import time:       228 |        228 |             asyncio.runners
import time:       286 |        286 |             asyncio.streams
import time:       150 |        150 |             asyncio.subprocess
import time:       108 |        108 |             asyncio.taskgroups
import time:        72 |         72 |             asyncio.threads
import time:       189 |        189 |               asyncio.base_subprocess
import time:       400 |        400 |               asyncio.selector_events
import time:       526 |       1114 |             asyncio.unix_events
import time:       140 |       9828 |           asyncio
import time:        76 |       9903 |         loguru._asyncio_loop
import time:        84 |         84 |         loguru._colorama
import time:        58 |         58 |         loguru._filters
import time:       214 |        214 |         loguru._better_exceptions
import time:       341 |        341 |         loguru._colorizer
import time:        63 |         63 |         loguru._contextvars
import time:       851 |        851 |           calendar
import time:       360 |       1210 |         loguru._datetime
import time:       109 |        109 |         loguru._error_interceptor
import time:       638 |        638 |             _decimal
import time:        88 |        726 |           decimal
import time:       138 |        138 |           loguru._string_parsers
import time:        78 |         78 |           loguru._ctime_functions
import time:       260 |       1200 |         loguru._file_sink
import time:        68 |         68 |         loguru._get_frame
import time:        72 |         72 |           loguru._locks_machinery
import time:       171 |        242 |         loguru._handler
